Play,QB,SG/UC,Att,Comp,Dir,AirYds,Tyds,Press,Pock,Scram?,Acc,Int,TD,DPInt,TA,BP,Fum,Sk,Ht,Hur,Note
85,, ,,, ,,,,,,,,,,,,,,,,
86,Blake Sims 6,SG,,, ,,,,,,,,,,,,,,,,
87,Blake Sims 6,SG,,, ,,,,,,,,,,,,,,,,
88,, ,,, ,,,,,,,,,,,,,,,,
88,, ,,, ,,,,,,,,,,,,,,,,
89,, ,,, ,,,,,,,,,,,,,,,,
90,, ,,, ,,,,,,,,,,,,,,,,
90,, ,,, ,,,,,,,,,,,,,,,,
91,Cardale Jones 12,SG,,,Left,,,,,,,,,,,,,,,,
92,, ,,, ,,,,,,,,,,,,,,,,
92,, ,,, ,,,,,,,,,,,,,,,,
92,, ,,, ,,,,,,,,,,,,,,,,
93,Cardale Jones 12,SG,,,Right,,,,,,,,,,,,,,,,
93,, ,,, ,,,,,,,,,,,,,,,,
93,, ,,, ,,,,,,,,,,,,,,,,
94, , ,,, ,,,,,,,,,,,,,,,,
95,, ,,, ,,,,,,,,,,,,,,,,
95,, ,,, ,,,,,,,,,,,,,,,,
96,, ,,, ,,,,,,,,,,,,,,,,
97, , ,,, ,,,,,,,,,,,,,,,,
98,, ,,, ,,,,,,,,,,,,,,,,
99,Blake Sims 6,UC,,,Left,,,,,,,,,,,,,,,,
99,, ,,, ,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,
101,Blake Sims 6,SG,,,Left,,,,,,,,,,,,,,,,
102,Blake Sims 6,SG,,,Right,,,,,,Ov,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,
103,Blake Sims 6,UC,,,Left,,,,,,,,,,,,,,,,
104,Blake Sims 6,SG,,,Mid,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,
107,Blake Sims 6,SG,,,Right,,,,,,Ov,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,
