conference_name,team_name,logo_url,roster_url
Independents,Army,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_ARMY.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=army&id=90038
Independents,BYU,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_BYU.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=brigham-young&id=90222
Independents,Navy,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_NAVY.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=navy&id=91257
Independents,Notre Dame,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_ND.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=notre-dame&id=91487
MAC,Akron,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_AKR.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=akron&id=89900
MAC,Ball State,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_BST.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=ball-state&id=90084
MAC,Bowling Green,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_BG.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=bowling-green&id=90176
MAC,Buffalo,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_BUF.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=buffalo&id=90199
MAC,Central Michigan,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_CM.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=central-michigan&id=90268
MAC,Eastern Michigan,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_EM.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=eastern-michigan&id=90429
MAC,Kent State,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_KENT.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=kent-state&id=90843
MAC,Massachusetts,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_UMASS.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=umass&id=92706
