Game Data,,,,,,,,,Quarterback,,,,,,,,,,,,,,,,,,,,,Running Back,,,,,,,,,,,Receiver,,,,,,,,,,,,,,Offensive Line,,,,,,Off-Penalty,,,,,Defense,,,,,,,,,,,Coverage,,,,,,,,Def-Penalty,,,,
Play#,Off,Def,Q,Dwn,Y2G,Half,Yd Ln,Res,QB,SG/UC,Att,Comp,Dir,AirYds,Tyds,Press,Pock,Scram?,Acc,Int,TD,DPInt,TA,BP,Fum,Sk,Ht,Hur,Note,RB,Att,Yds,YAC,1D,TD,MT,Stuff,Fum,FumL,Note,WR,Tgt,Rec,Cont,AirYds,Tyds,YAC,MT,Drop,EZ,1D,TD,Fum,Note,OL1,Pos,Hur,Hit,Sk,Note,Player,Type,Yds,Acc/Dec,Note,Defender,Tackle,MT,Stuff,Sack,Hit,Hur,FF,FumR,BP,D-TD,Tgt,Comp,Cont,PD,TD,Int,PI,Note,Player,Type,Yds,Acc/Dec,Note
21,OSU,BAMA,1,2,10,Own,36, ,, ,,, ,,,,,,,,,,,,,,,,,Ezekiel Elliott 15,1,2,0,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Trey DePriest 33,1,,,,,,,,,,,,,,,,,,,,,,
22,OSU,BAMA,1,3,8,Own,38,First,Cardale Jones 12,SG,,, ,,,,,1,,,,,,,,,,,,Cardale Jones 12,1,20,3,1,,1,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Nick Perry 27,1,,,,,,,,,,,,,,,,,,,,,,
, , ,,,, ,, ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Geno Smith 24,1,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,, ,, ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Jonathan Allen 93,,1,,,,,,,,,,,,,,,,,,,,,
23,OSU,BAMA,1,1,10,Opp,42, ,Cardale Jones 12,SG,1,0,Right,22,,1,1,,Ov,,,,,,,,,,, ,,,,,,,,,,,Jalin Marshall 17,1,0,0,22,,,,,,,,,,Daryl Baldwin 76,RT,1,,,,,,,,,Nick Perry 27,,,,,,,,,,,1,0,0,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Ryan Anderson 7,,,,,,1,,,,,,,,,,,,,,,,,
24,OSU,BAMA,1,2,10,Opp,42, ,, ,,, ,,,,,,,,,,,,,,,,,Cardale Jones 12,1,1,0,,,1,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Ryan Anderson 7,,1,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , ,First,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Landon Collins 26,1,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Trey DePriest 33,1,,,,,,,,,,,,,,,,,,,,,,
25,OSU,BAMA,1,3,9,Opp,41,First,Cardale Jones 12,SG,1,1,Right,40,40,0,1,,,,,,,,,,,,, ,,,,,,,,,,,Devin Smith 9,1,1,0,40,40,0,,,,1,,,, ,,,,,,,,,,,Eddie Jackson 4,,,,,,,,,,,1,1,0,,,,,,,,,,
26,OSU,BAMA,1,1,G,Opp,1, ,Cardale Jones 12,SG,,, ,,,,,1,,,,,,,1,,,,,Cardale Jones 12,1,-8,0,,,,1,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Landon Collins 26,1,,1,,,,,,,,,,,,,,,,,,,,
27,OSU,BAMA,1,2,G,Opp,9, ,Cardale Jones 12,SG,1,1,Right,5,5,1,0,,,,,,,,,,,1,, ,,,,,,,,,,,Nick Vannett 81,1,1,0,5,5,0,,,,,,,,Daryl Baldwin 76,RT,1,,,,,,,,,Trey DePriest 33,,,,,,,,,,,1,1,0,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Jarran Reed 90,,,,,,1,,,,,,,,,,,,,,,,,
28,OSU,BAMA,1,3,G,Opp,4, ,Cardale Jones 12,SG,1,0,Right,3,,0,1,,,,,,,,,,,,, ,,,,,,,,,,,Jalin Marshall 17,1,0,1,3,,,,1,1,,,,, ,,,,,,,,,,,Nick Perry 27,,,,,,,,,,,1,0,1,,,,,,,,,,
29,BAMA,OSU,1,1,10,Own,21,First,, ,,, ,,,,,,,,,,,,,,,,,Derrick Henry 27,1,11,9,1,,1,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Darron Lee 43,,1,,,,,,,,,,,,,,,,,Eli Apple 13,LH,15,Acc,
30,BAMA,OSU,1,1,10,Own,47, ,, ,,, ,,,,,,,,,,,,,,,,,Derrick Henry 27,1,8,1,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Curtis Grant 14,1,,,,,,,,,,,,,,,,,,,,,,
